place	year	type	number
SCDV	103	small	292
TCDV	92	small	539
HLDV	100	small	367
CHDV	98	small	316
TNDV	96	small	3078
KSDV	103	small	31
HLDV	91	small	28
SLDV	101	small	366
TYDV	94	small	1121
TPDV	94	small	2263
TNDV	101	small	256
SLDV	95	small	3238
CHDV	100	small	120
KLDV	96	small	1146
KSDV	102	small	863
TCDV	93	small	2279
TCDV	103	small	2176
TCDV	103	small	415
SLDV	103	small	50
CHDV	101	small	42
KSDV	104	small	41
TPDV	102	small	2368
TCDV	93	small	1082
TYDV	96	small	3039
SCDV	101	small	177
TPDV	96	small	481
MLDV	96	small	1099
PCDV	103	small	1012
CHDV	97	insurance	7
TPDV	91	insurance	63
SLDV	100	small	478
TCDV	91	small	92
SLDV	101	small	181
KLDV	95	small	2915
KSDV	100	small	1181
HLDV	100	small	84
SLDV	103	small	924
PCDV	100	small	2330
TCDV	99	small	2329
SCDV	102	small	113
PCDV	95	small	2778
TCDV	98	small	271
TPDV	96	small	1476
TCDV	93	small	583
KLDV	97	small	944
PCDV	103	small	2909
SCDV	90	small	60
SCDV	103	small	24
KSDV	99	insurance	2
KSDV	102	small	874
KSDV	98	insurance	3
TYDV	91	small	708
TYDV	92	small	56
TCDV	99	suit	1363
CHDV	97	small	266
TCDV	91	small	67
SLDV	100	small	747
SLDV	102	small	1407
TCDV	103	small	916
TYDV	103	small	1020
CHDV	100	small	78
TPDV	90	insurance	112
SLDV	103	small	367
TPDV	98	small	2428
PCDV	104	small	466
KLDV	101	small	2089
PTDV	103	small	42
TYDV	99	small	240
CYDV	97	summary	1053
TYDV	104	insurance	29
SCDV	102	small	413
SLDV	103	small	241
HLDV	100	small	254
PTDV	103	small	223
PTDV	99	small	579
HLDV	97	small	114
TPDV	103	small	2999
TPDV	99	small	2055
TCDV	94	small	301
TPDV	101	small	1229
HLDV	102	small	56
TPDV	97	small	3550
SLDV	93	insurance	46
KSDV	102	small	408
SLDV	103	small	783
TYDV	90	small	134
TCDV	90	small	350
SLDV	97	small	225
PCDV	99	small	2779
SCDV	91	small	40
SLDV	93	small	177
SLDV	94	small	678
TPDV	99	small	515
SLDV	104	small	512
SCDV	104	small	29
TCDV	103	small	166
TYDV	103	small	524
SCDV	97	small	270
TPDV	103	small	82
TCDV	97	small	1199
SCDV	103	small	227
KLDV	98	small	2347
SLDV	100	small	1114
SCDV	93	small	74
MLDV	103	small	112
TPDV	104	small	76
CHDV	103	small	508
KSDV	102	small	510
SCDV	97	small	120
TCDV	96	small	796
SLDV	101	small	449
PTDV	90	small	3
KSDV	92	insurance	23
TTDV	103	small	158
TCDV	90	small	509
PTDV	95	summary	402
SCDV	101	small	126
KSDV	93	small	2272
TPDV	91	insurance	74
TPDV	97	small	936
TPDV	104	small	746
TCDV	97	small	714
